Information,Hegira Date,Date Range 1,Date Range 2,Hegira Date 2,Date Range 1,Date Range 2
1 Ab1 2 2 Madinat alSalam 152 769/70 0.00 1n Kursk69C?70C,152,769,770,,,
2 Ab1 3 3 Kirman 167 783/84 0.00 Kursk98G?99G,167,783,784,,,
3 Ab1 7 7 Madinat Isbahan 196 811/12 0.00 Kursk94A?95A,196,811,812,,,
4 Ab1 7 7 alMuhammadiyya 201 816/17 0.00 Kursk69B?70B,201,816,817,,,
5 Ab2 10 10 mint? 246 860/61 0.00 ? Kursk63A?64A,246,860,861,,,
6 Ab2 12 12 (alMuhammadiyya) 2(48) 862/63 0.00 Kursk67C?68C,248,862,863,,,
7 Ab2 15 15 Arminiya 2(7)7 890/91 0.00 ? Kursk53A?54A,277,890,891,,,
8 Ab2 15 15 (alBanjhi)r? 2(65?) 878/79 0.00 Kursk92E?93E,265,878,879,,,
9 Ab2 15 15 Bardha`a 27(7) 890/91 0.00 2n 02/R02 Kursk71B?72B,277,890,891,,,
10 Ab2 15 15 alShash 27(5) 888/89 0.00 02/R01 Kursk94B?95B,275,888,889,,,
11 Ab2 99 99 mint? (ca230?55) ca844?69 0.00 Kursk98D?99D,230,844,845,,,
12 Sa1 17 1 Balkh 293 905/6 0.00 01/R02 Kursk94H?95H,293,905,906,,,
13 Sa1 16 1 Samarqand 283 896/97 0.00 Kursk96H?97H,283,896,897,,,
14 Sa1 16 1 alShash 286 899/900 0.00 Kursk59B?60B,286,899,900,,,
15 Sa1 16 1 alShash 286 899/900 0.00 Kursk69A?70A,286,899,900,,,
16 Sa1 16 1 alShash 286 899/900 0.00 e Kursk88C?89C,286,899,900,,,
17 Sa1 16 1 alShash 287 900 0.00 Kursk76A?77A,287,900,,,,
18 Sa1 16 1 alShash 289 901/2 0.00 Kursk51A?52A,289,901,902,,,
19 Sa1 16 1 alShash 289 901/2 0.00 Kursk82B?83B,289,901,902,,,
20 Sa1 17 1 alShash 290 902/3 0.00 Kursk49A?50A,290,902,903,,,
21 Sa1 17 1 (alShash) (290) 902/3 0.00 Kursk61A?62A,290,902,903,,,
22 Sa1 17 1 alShash 290 902/3 0.00 Kursk80C?81C,290,902,903,,,
23 Sa1 17 1 alShash 290 902/3 0.00 c Kursk90G?91G,290,902,903,,,
24 Sa1 17 1 alShash 292 904/5 0.00 Kursk67A?68A,292,904,905,,,
25 Sa1 17 1 alShash 294 906/7 0.00 Kursk55B?56B,294,906,907,,,
26 Sa1 18 2 Samarqand 298 910/11 0.00 Kursk80B?81B,298,910,911,,,
27 Sa1 18 2 Samarqand (298?) 910/11? 0.00 Kursk92A?93A,298,910,911,,,
28 Sa1 18 2 Samarqand 299 911/12 0.00 Kursk76C?77C,299,911,912,,,
29 Sa1 18 2 Samarqand 299 911/12 0.00 Kursk86B?87B,299,911,912,,,
30 Sa1 18 2 Samarqand 2(99) 911/12 0.00 Kursk92C?93C,299,911,912,,,
31 Sa1 18 2 alShash 297 909/10 0.00 Kursk49B?50B,297,909,910,,,
32 Sa1 18 2 alShash 297 909/10 0.00 cg Kursk55A?56A,297,909,910,,,
33 Sa1 18 2 alShash 297 909/10 0.00 Kursk90E?91E,297,909,910,,,
34 Sa1 18 2 alShash 299 911/12 0.00 Kursk53B?54B,299,911,912,,,
35 Sa1 18 2 alShash 301 913/14 0.00 Kursk63B?64B,301,913,914,,,
36 Sa1 18 2 alShash 301 913/14 0.00 Kursk76B?77B,301,913,914,,,
37 Sa1 18 2 alShash 301 913/14 0.00 Kursk92B?93B,301,913,914,,,
38 Sa1 18 3 Andaraba 30(3?) 915/16? 0.00 Kursk59A?60A,303,915,916,,,
39 Sa1 18 3 Andaraba 308 920/21 0.00 02/R01 Kursk82D?83D,308,920,921,,,
40 Sa1 18 3 Andaraba 308 920/21 0.00 c 12/R14 Kursk94C?95C,308,920,921,,,
41 Sa1 18 3 Balkh 303 915/16 0.00 01/R01 Kursk96F?97F,303,915,916,,,
42 Sa1 18 3 Samarqand 302 914/15 0.00 Kursk82A?83A,302,914,915,,,
43 Sa1 18 3 Samarqand 302 914/15 0.00 Kursk86D?87D,302,914,915,,,
44 Sa1 18 3 Samarqand 304 916/17 0.00 Kursk51B?52B,304,916,917,,,
45 Sa1 18 3 Samarqand 309 921/22 0.00 Kursk71A?72A,309,921,922,,,
46 Sa2 18 3 Samarqand 311 923/24 0.00 Kursk78A?79A,311,923,924,,,
47 Sa1 18 3 alShash 302 914/15 0.00 Kursk78B?79B,302,914,915,,,
48 Sa1 18 3 alShash 303 915/16 0.00 Kursk80A?81A,303,915,916,,,
49 Sa1 18 3 alShash 304 916/17 0.00 Kursk78C?79C,304,916,917,,,
50 Sa1 18 3 alShash 304 916/17 0.00 Kursk82C?83C,304,916,917,,,
51 Sa1 18 3 alShash 30(8) 920/21 0.00 Kursk96G?97G,308,920,921,,,
52 Im253 13 0 (Samarqand) 253 867 0.00 unsp Kursk88E?89E ca.256,253,867,868,,,
53 ImArm 15 0 Arminiya (250) R=256?79 0.00 c K0057 02/R01 Kursk92D?93D ca.270,250,864,865,279,892,893
54 ImVb 17 1 Balkh 293 dat.300 0.00 K0101 31/R18 Kursk76D?77D ca.300,293,905,906,,,
55 ImVb 17 1 Balkh 29(4) dat.300? 0.00 unsp Kursk80D?81D ca.300,294,906,907,,,
56 ImVb 17 1 alShash 290 dat.309 0.00 c K0034 01/R01 Kursk88A?89A ca.309,290,902,903,,,
57 ImVb 18 3 Samarqand 306 dat.309 0.00 c K0101 07/R03 Kursk73D?74D ca.309,306,918,919,,,
58 ImVb 17 1 alShash 308 dat.312 0.00 K0101 60/R40 Kursk61B?62B ca.312,308,920,921,,,
59 ImVb 18 3 Nm 315 dat.315 0.00 c K0101 04/R03 Kursk57B?58B ca.315,315,927,928,,,
60 ImVb 18 3 Nm 315 dat.315 0.00 c K0101 04/R03 Kursk88B?89B ca.315,315,927,928,,,
61 ImVb 18 3 Samarqand 300 dat.320 0.00 c K0101 32/R49 Kursk94D?95D ca.320,320,932,,,,
62 ImVb 18 3 Andaraba 310 dat.323 0.00 c K0003 04/R03 Kursk65D?66D ca.323,323,934,935,,,
63 ImVb 18 3 alShash 283 dat.323 0.00 c K0011 04/R03 Kursk86A?87A ca.323,323,934,935,,,
64 ImVb 99 99 NmNd dat.323 0.00 c K0088 01/R01 Kursk65A?66A ca.323,323,934,935,,,
65 ImVb 99 99 NmNd dat.323 0.00 c K0088 02/R01 Kursk90C?91C ca.323,323,934,935,,,
66 ImVb 18 3 NmNd dat.323 0.00 c K0101 77/R25 Kursk67B?68B ca.323,323,934,935,,,
67 ImVb 99 99 NmNd dat.323 0.00 c S0821 Kursk65B?66B ca.323,323,934,935,,,
68 ImVb 99 99 NmNd dat.323 0.00 c S0821 Kursk65C?66C ca.323,323,934,935,,,
69 ImVb 99 99 NmNd dat.323 0.00 c S0821 Kursk65E?66E ca.323,323,934,935,,,
70 ImVb 99 99 NmNd dat.323 0.00 c S0821 Kursk73C?74C ca.323,323,934,935,,,
71 ImVb 99 99 NmNd dat.323 0.00 c S0821 Kursk73E?74A ca.323,323,934,935,,,
72 ImVb 99 99 NmNd dat.323 0.00 c S0821 Kursk84C?85C ca.323,323,934,935,,,
73 ImVb 99 99 NmNd dat.323 0.00 S0821 Kursk84D?85D ca.323,323,934,935,,,
74 ImVb 99 99 NmNd dat.323 0.00 c S0821 Kursk90A?91A ca.323,323,934,935,,,
75 ImVb 99 99 NmNd dat.323 0.00 c S0821 Kursk90D?91D ca.323,323,934,935,,,
76 ImVb 99 99 NmNd dat.323 0.00 S0821 Kursk92F?93F ca.323,323,934,935,,,
77 ImVb 99 99 NmNd dat.323 0.00 c S0821 Kursk94G?95G ca.323,323,934,935,,,
78 ImVb 99 99 NmNd dat.323 0.00 c S0821 Kursk96A?97A ca.323,323,934,935,,,
79 ImVb 99 99 NmNd dat.323 0.00 c S0821 Kursk96C?97C ca.323,323,934,935,,,
80 ImVb 99 99 NmNd dat.323 0.00 c S0821 Kursk96E?97E ca.323,323,934,935,,,
81 ImVb 99 99 NmNd dat.323 0.00 c S0821 Kursk98B?99B ca.323,323,934,935,,,
82 ImVb 99 99 NmNd dat.323 0.00 c S0821 Kursk98E?99E ca.323,323,934,935,,,
83 ImVb 99 99 NmNd dat.323 0.00 c S0821 Kursk98F?99F ca.323,323,934,935,,,
84 ImVb 99 99 NmNd dat.323 0.00 c S0821 Kursk98H?99H ca.323,323,934,935,,,
85 ImVb 99 99 NmNd dat.323 0.00 c S1368 Kursk90F?91F ca.323,323,934,935,,,
86 ImVb 99 99 NmNd dat.323 0.00 unsp Kursk57A?58A ca.323,323,934,935,,,
87 ImVb 99 99 NmNd dat.323 0.00 c unsp Kursk73B?74B ca.323,323,934,935,,,
88 ImVb 99 99 NmNd dat.323 0.00 c unsp Kursk84A?85A ca.323,323,934,935,,,
89 ImVb 99 99 NmNd dat.323 0.00 c unsp Kursk84B?85B ca.323,323,934,935,,,
90 ImVb 99 99 NmNd dat.323 0.00 c unsp Kursk84E?85E ca.323,323,934,935,,,
91 ImVb 99 99 NmNd dat.323 0.00 unsp Kursk84F?85F ca.323,323,934,935,,,
92 ImVb 99 99 NmNd dat.323 0.00 c unsp Kursk88F?89F ca.323,323,934,935,,,
93 ImVb 99 99 NmNd dat.323 0.00 c unsp Kursk90B?91B ca.323,323,934,935,,,
94 ImVb 99 99 NmNd dat.323 0.00 c unsp Kursk94E?95E ca.323,323,934,935,,,
95 ImVb 18 3 NmNd dat.323 0.00 c unsp Kursk96B?97B ca.323,323,934,935,,,
96 ImVb 18 3 NmNd dat.323 0.00 unsp Kursk96D?97D ca.323,323,934,935,,,
97 ImVb 99 99 NmNd dat.323 0.00 c unsp Kursk98A?99A ca.323,323,934,935,,,
98 ImVb 88 3 NmNd dat.331 0.00 unsp1 Kursk78D?79D ca.331,331,942,943,,,
99 ImVb 88 3 NmNd dat.331 0.00 unsp1 Kursk86C?87C ca.331,331,942,943,,,
100 ImVb 88 3 NmNd dat.331 0.00 unsp1 Kursk88D?89D ca.331,331,942,943,,,
101 ImVb 18 3 NM xx8 dat.331 0.00 c K0101 25/R51 Kursk94F?95F ca.331,331,942,943,,,
102 ImRus 18 3 NmNd dat.330 0.00 unsp Kursk71C?72C ca.330,330,941,942,,,
103 ImRus 18 3 NmNd (Andaraba 303?7) dat.330 0.00 unsp Kursk98C?99C ca.330,330,941,942,,,
