Information,Weight,Hegira Date 1,Date Range 1,Date Range 2,Hegira Date 2,Date Range 1,Date Range 2
"Buwayhid AR dirham, Adud al-Dawla Abu Shuja', Astrabad 36xAH",3.01,360,970,971,369,979,980
"Buwayhid AR dirham, Adud al-Dawla Abu Shuja, 36xAH",2.73,360,970,971,369,979,980
"Hamdanids, Sayf al-Daula and sir al-Daula, 35x H",5.2,350,961,962,359,969,970
"Marwanid, Abu Ali al-Hasan b. Marwan+Buid Baha ad-Dawla, Miyafariqin 385AH",2.49,385,995,996,,,
Samanid Mansur Shash 363,2.22,363,973,974,,,
"Samanid AE dirham, Nuh II b. Mansur, Shash 366AH",4.41,366,976,977,,,
"Samanid AR dirham, 'Abd al-Malik I b. Nuh, Bukhara 346AH",2.52,346,957,958,,,
"Samanid AR dirham, Mansur b. Nuh, Balkh 351AH",3.54,351,962,963,,,
"Samanid AR dirham, Mansur b. Nuh, Balkh 361AH",3.25,361,971,972,,,
"Samanid AR dirham, Mansur b. Nuh, Samarqand 355AH",4.65,355,965,966,,,
"Samanid AR dirham, Mansur b. Nuh, Samarqand 363AH",2.83,363,973,974,,,
"Samanid AR dirham, Mansur b. Nuh, Shash 358AH",3,358,968,969,,,
"Samanid AR dirham, Mansur b. Nuh, Shash 358AH, imitation?",2.62,358,968,969,,,
"Samanid AR dirham, Mansur b. Nuh, Shash 363AH, imitation?",2.89,363,973,974,,,
"Samanid AR dirham, Mansur b. Nuh, Shash 365AH",3.4,365,975,976,,,
"Samanid AR dirham, sr b. Ahmad, Samarqand 321AH",4.01,321,933,,,,
"Samanid AR dirham, sr b. Ahmad, Samarqand 325AH",3.49,325,936,937,,,
"Samanid AR dirham, sr b. Ahmad, Samarqand 326AH",4.31,326,937,938,,,
"Samanid AR dirham, sr b. Ahmad, Samarqand 32xAH",3.85,320,932,,329,940,941
"Samanid AR dirham, sr b. Ahmad, Shash 321AH",3.31,321,933,,,,
"Samanid AR dirham, sr b. Ahmad, Shash 324AH",2.85,324,935,936,,,
"Samanid AR dirham, sr b. Ahmad, Shash 324AH",2.79,324,935,936,,,
"Samanid AR dirham, Nuh b. sr, Samarqand 33(5 or 8)AH",3.67,335,946,947,338,949,950
"Samanid AR dirham, Nuh b. sr, Samarqand 334AH",3.58,334,945,946,,,
"Ziyarid AR dirham, Zahir al-Dawla Vishumgir, Jurjan 366 AH",3.12,366,976,977,,,
"Samanid AR dirham, Nuh b. sr, Samarqand 334AH",3.58,334,945,946,,,
"Samanid AR dirham, Nuh b. sr, Samarqand 338AH",3.77,338,949,950,,,
"Samanid AR dirham, Nuh b. sr, Samarqand 337AH",3.9,337,948,949,,,
"Samanid AR dirham, Nuh b. sr, Samarqand 33(5 or 8)AH",3.67,335,946,947,338,949,950
"Samanid AE dirham, Nuh II b. Mansur, Shash 366AH",4.41,366,976,977,,,
